trial_start_unix,task_start_unix,model,rep,condition,mode,wall_s,calls,words,word_count_pass,answer_sha256,prompt_signature,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,decode_tps,work_signature,cache_signature,normalized_citations,unread_citations,citation_check_pass,mechanical_final_pass,opened_sources,task_status,generated_tokens,effective_tps,trial_host_swapout_bytes,campaign,peak_mlx_gb,first_ttft_s
1789142210.660177,,cloud,2,quiet,one_shot,16.48722558299778,1,224,True,dd305b4a3202daff6cb66a69fa46cf333381f5833116996815b209d156626591,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,429,66,,"[[11943, 7424, 429, 66]]","[[11943, 7424]]","S1,S2,S4,S5,S6",,True,True,,trace_replay_complete,363,22.017045752945762,0,rerun_20260911,,
1789142210.660177,,cloud,2,quiet,agentic,37.236820042016916,5,231,False,dd09a79f9a9fd96379d2bac03fd1a248e98f0fa71569a5e4925d0c73d94d3e84,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,511,96,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 40, 24], [12714, 7424, 429, 72]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,False,,trace_replay_complete,415,11.144882928556369,0,rerun_20260911,,
1789142355.011313,,cloud,3,combined,one_shot,17.562827792018652,1,220,True,dc78044a6031c780421377a8acecfc77f1e9bb1aea313051d330ebe10fb4cb5c,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,459,103,,"[[11943, 7424, 459, 103]]","[[11943, 7424]]","S1,S2,S4,S5,S6",,True,True,,trace_replay_complete,356,20.270084306229013,0,rerun_20260911,,
1789142355.011313,,cloud,3,combined,agentic,41.84006308304379,5,226,True,c948c782198eb11520b4c8f1b3b9fbb1c919a7365620d2e75a94d7ddeb6daa02,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,542,132,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 30, 14], [12714, 7424, 470, 118]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,410,9.799220407154635,0,rerun_20260911,,
1789142279.2968462,,cloud,3,quiet,one_shot,18.0527752499911,1,226,True,013234ec051f3b40219708bf145b6f2967dd84f788d3d454707a0e2cd345fbb8,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,465,111,,"[[11943, 7424, 465, 111]]","[[11943, 7424]]","S1,S2,S4,S5,S6",,True,True,,trace_replay_complete,354,19.609173387353533,0,rerun_20260911,,
1789142279.2968462,,cloud,3,quiet,agentic,43.42371575004654,5,229,True,bd374dd5fc9fa43b3f802c864025fe1ba120877327608d2d5c7e1a024de02ed1,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,576,151,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 42, 26], [12522, 7424, 29, 13], [12714, 7424, 477, 112]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,425,9.787278510350522,0,rerun_20260911,,
1789142505.9705222,,cloud,4,combined,one_shot,19.963751874980517,1,228,True,0776d969a16684be18e93165d607512709a501c122e9f6342ab009d2dbb953b0,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,533,168,,"[[11943, 7424, 533, 168]]","[[11943, 7424]]","S1,S2,S4,S5,S6",,True,True,,trace_replay_complete,365,18.28313647082714,0,rerun_20260911,,
1789142505.9705222,,cloud,4,combined,agentic,44.50722987501649,5,226,True,572499a7e94bea8ab75844041c1aed422042fb170b2dcbf9b9f98807eabfdd84,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,591,188,,"[[11123, 7424, 14, 0], [12206, 7424, 47, 31], [12345, 7424, 34, 18], [12522, 7424, 31, 15], [12714, 7424, 465, 124]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,403,9.05470866489982,0,rerun_20260911,,
1789142430.1788568,,cloud,4,quiet,one_shot,19.507123166986275,1,221,True,45d51f7a1173d5d12e2756418f9593dddd45e132a790a0b2bcf7d895e37e1965,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,469,116,,"[[11943, 7424, 469, 116]]","[[11943, 7424]]","S1,S2,S4,S5,S6",,True,True,,trace_replay_complete,353,18.095953820469788,0,rerun_20260911,,
1789142430.1788568,,cloud,4,quiet,agentic,41.53360883303685,5,227,True,ae0cac871b4f7a756e914d460066d9dad240c41920f17f1686c723e06ed23cb1,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,29696,531,119,,"[[11123, 7424, 14, 0], [12206, 0, 14, 0], [12345, 7424, 33, 17], [12522, 7424, 33, 17], [12714, 7424, 437, 85]]","[[11123, 7424], [12206, 0], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,412,9.91967737877584,0,rerun_20260911,,
1789142586.1540082,,cloud,5,combined,one_shot,20.773587458010297,1,232,False,ae8a5dcf20cbd787d15843df9ca8b0e0d40eaf8985cdbfa9933fac9cb7f56533,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,558,193,,"[[11943, 7424, 558, 193]]","[[11943, 7424]]","S1,S2,S4,S5,S6",,True,False,,trace_replay_complete,365,17.570388395253126,0,rerun_20260911,,
1789142586.1540082,,cloud,5,combined,agentic,41.783630792051554,5,230,True,a21f85595f41ef3878a6628622b7aefd4b8505e02c699024f549a99b3006d8fa,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,589,159,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 31, 15], [12714, 7424, 516, 144]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,430,10.291111419685393,0,rerun_20260911,,
1789142664.486111,,cloud,5,quiet,one_shot,17.180621540988795,1,229,True,03ad77c1bf391eadc36370e4f72f945e297b26981c0719437dcb916cfe9a4aa9,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,432,69,,"[[11943, 7424, 432, 69]]","[[11943, 7424]]","S1,S2,S3,S4,S5,S6",,True,True,,trace_replay_complete,363,21.128455634388434,0,rerun_20260911,,
1789142664.486111,,cloud,5,quiet,agentic,44.21202783298213,5,232,False,eeac584becbc3fd0b7c96ce3ca2897c8d2b7725144cb1070d304929a85b3efd6,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,492,68,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 33, 17], [12714, 7424, 417, 51]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,False,,trace_replay_complete,424,9.590150481261038,0,rerun_20260911,,
1789142795.923604,1789142802.8719978,cloud_agent,0,combined,agentic,37.98249462497188,5,225,True,f6e9642b0f75466c278e0ec2d2aaa637eea056ec656c39d103e1b45067bbe56a,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,592,174,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 39, 23], [12522, 7424, 38, 22], [12714, 7424, 487, 129]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,"S2,S1,S4,S5",completed,418,11.005069680841414,0,rerun_20260911,,
1789142742.3764522,1789142748.274637,cloud_agent,0,quiet,agentic,38.8300894999993,5,229,True,929cc6487c2fae76ee3df2737661fcf1903144483fa6eda5a945866c26e4a3a7,e614e8172d736e185c40742d2c270dd2f7a7b87705559d1467bd799b4593c6d2,60885,37120,548,121,,"[[11123, 7424, 14, 0], [12181, 7424, 14, 0], [12345, 7424, 46, 30], [12522, 7424, 48, 32], [12714, 7424, 426, 59]]","[[11123, 7424], [12181, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,"S1,S2,S4,S5",completed,427,10.996626726806994,0,rerun_20260911,,
1789142849.523011,1789142856.476598,cloud_agent,1,combined,agentic,38.60908654204104,5,231,False,27b993660096431dcba81b18a8f1cffadf2808edb85484f69f9991ad6eeedf75,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,523,112,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 34, 18], [12714, 7424, 447, 94]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,False,"S2,S1,S4,S5",completed,411,10.645162494390181,0,rerun_20260911,,
1789142904.040065,1789142909.972877,cloud_agent,1,quiet,agentic,41.95138304197462,5,226,True,92d4d16c1f0143e27fe856759eb885c4f2a1c4802d27758b12d159afdc5e9ffa,e614e8172d736e185c40742d2c270dd2f7a7b87705559d1467bd799b4593c6d2,60885,37120,586,170,,"[[11123, 7424, 14, 0], [12181, 7424, 14, 0], [12345, 7424, 49, 33], [12522, 7424, 28, 12], [12714, 7424, 481, 125]]","[[11123, 7424], [12181, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,"S1,S2,S4,S5",completed,416,9.91624041533433,0,rerun_20260911,,
1789143018.982181,1789143025.916717,cloud_agent,2,combined,agentic,34.54383970901836,5,221,True,043ea6721ed40b830e86e737d0f8c4a90674ceec09626e03d89ba198c0d2344b,e614e8172d736e185c40742d2c270dd2f7a7b87705559d1467bd799b4593c6d2,60885,37120,513,96,,"[[11123, 7424, 14, 0], [12181, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 31, 15], [12714, 7424, 440, 81]]","[[11123, 7424], [12181, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,"S1,S2,S4,S5",completed,417,12.071616922514083,0,rerun_20260911,,
1789142960.5350778,1789142966.435099,cloud_agent,2,quiet,agentic,43.718167292070575,5,221,True,54334afe36cc2d3bfee00a667cf4b25d4046d1a70942594884ddad6ebae2385f,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,29696,554,128,,"[[11123, 7424, 14, 0], [12206, 0, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 34, 18], [12714, 7424, 478, 110]]","[[11123, 7424], [12206, 0], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,"S2,S1,S4,S5",completed,426,9.744232807244556,0,rerun_20260911,,
1789143925.661823,1789143936.753655,4b,0,browser,one_shot,4.5313062919303775,1,174,False,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,,,,,80.20637006887387,"[[1126, 261, ""6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782""]]e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150",,"S1,S2,S3,S4,S5,S6",,True,False,,completed,261,57.59928444139927,0,rerun_20260911,4.873351152,1.2583189589204267
1789143925.661823,1789143941.285221,4b,0,browser,agentic,11.572928959038109,6,88,False,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,786c285d64a47433eae27cb56e28e3f8600f16a2de45ef7f130bc9fb07c16433,,,,,80.60273505448552,"[[281, 41, ""01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde""], [1114, 11, ""219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438""], [1284, 108, ""5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f""], [1304, 150, ""7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4""], [1503, 11, ""67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e""], [1685, 150, ""917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d""]]af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f",,"S1,S2,S4",,True,False,"S1,S2,S4",completed,471,40.69842661845455,0,rerun_20260911,5.532877305,0.21299425000324845
1789143997.6362371,1789144009.707259,4b,0,combined,one_shot,4.851532500004396,1,174,False,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,,,,,73.52126224497475,"[[1126, 261, ""6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782""]]e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150",,"S1,S2,S3,S4,S5,S6",,True,False,,completed,261,53.797434109688744,455344128,rerun_20260911,4.873351152,1.279014250030741
1789143997.6362371,1789144014.559181,4b,0,combined,agentic,12.800873417058028,6,88,False,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,786c285d64a47433eae27cb56e28e3f8600f16a2de45ef7f130bc9fb07c16433,,,,,73.947260747258,"[[281, 41, ""01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde""], [1114, 11, ""219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438""], [1284, 108, ""5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f""], [1304, 150, ""7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4""], [1503, 11, ""67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e""], [1685, 150, ""917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d""]]af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f",,"S1,S2,S4",,True,False,"S1,S2,S4",completed,471,36.79436431051343,455344128,rerun_20260911,5.532877305,0.23763300001155585
1789144243.9775271,1789144254.398913,4b,0,fault,one_shot,5.128599458024837,1,174,False,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,,,,,69.9736851370293,"[[1126, 261, ""6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782""]]e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150",,"S1,S2,S3,S4,S5,S6",,True,False,,completed,261,50.8910867647516,0,rerun_20260911,4.873351152,1.3835335409967229
1789144243.9775271,1789144259.5278862,4b,0,fault,agentic,13.812331333057955,6,88,False,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,786c285d64a47433eae27cb56e28e3f8600f16a2de45ef7f130bc9fb07c16433,,,,,68.89001931743114,"[[281, 41, ""01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde""], [1114, 11, ""219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438""], [1284, 108, ""5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f""], [1304, 150, ""7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4""], [1503, 11, ""67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e""], [1685, 150, ""917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d""]]af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f",,"S1,S2,S4",,True,False,"S1,S2,S4",completed,471,34.099963912154706,0,rerun_20260911,5.532877273,0.24598366592545062
1789143961.7414122,1789143972.1439118,4b,0,game,one_shot,4.260337125044316,1,174,False,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,,,,,76.62818751519882,"[[1126, 261, ""6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782""]]e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150",,"S1,S2,S3,S4,S5,S6",,True,False,,completed,261,61.26275746248252,0,rerun_20260911,4.873351152,0.8383091669529676
1789143961.7414122,1789143976.4048069,4b,0,game,agentic,12.271186541998759,6,88,False,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,786c285d64a47433eae27cb56e28e3f8600f16a2de45ef7f130bc9fb07c16433,,,,,77.11088909795009,"[[281, 41, ""01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde""], [1114, 11, ""219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438""], [1284, 108, ""5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f""], [1304, 150, ""7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4""], [1503, 11, ""67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e""], [1685, 150, ""917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d""]]af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f",,"S1,S2,S4",,True,False,"S1,S2,S4",completed,471,38.38259636816526,0,rerun_20260911,5.532877313,0.23550070798955858
1789144037.1147032,1789144046.608255,4b,0,gpu,one_shot,24.602835375000723,1,174,False,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,,,,,12.647732746771284,"[[1126, 261, ""6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782""]]e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150",,"S1,S2,S3,S4,S5,S6",,True,False,,completed,261,10.608533367060842,0,rerun_20260911,4.873367536,3.9134858339093626
1789144037.1147032,1789144071.211773,4b,0,gpu,agentic,72.2521287080599,6,88,False,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,786c285d64a47433eae27cb56e28e3f8600f16a2de45ef7f130bc9fb07c16433,,,,,11.583193049758567,"[[281, 41, ""01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde""], [1114, 11, ""219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438""], [1284, 108, ""5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f""], [1304, 150, ""7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4""], [1503, 11, ""67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e""], [1685, 150, ""917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d""]]af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f",,"S1,S2,S4",,True,False,"S1,S2,S4",completed,471,6.518839076743476,0,rerun_20260911,5.636844297,1.3180881249718368
1789143854.752898,1789143865.610553,4b,0,quiet,one_shot,4.107774500036612,1,174,False,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,,,,,84.36066299511162,"[[1126, 261, ""6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782""]]e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150",,"S1,S2,S3,S4,S5,S6",,True,False,,completed,261,63.53805448611499,0,rerun_20260911,4.873351152,0.9944034590153024
1789143854.752898,1789143869.718664,4b,0,quiet,agentic,11.232161124935374,6,88,False,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,786c285d64a47433eae27cb56e28e3f8600f16a2de45ef7f130bc9fb07c16433,,,,,85.02672140970168,"[[281, 41, ""01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde""], [1114, 11, ""219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438""], [1284, 108, ""5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f""], [1304, 150, ""7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4""], [1503, 11, ""67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e""], [1685, 150, ""917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d""]]af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f",,"S1,S2,S4",,True,False,"S1,S2,S4",completed,471,41.93315914551662,0,rerun_20260911,5.532877305,0.2646926249144599
1789143889.994942,1789143901.060438,4b,0,video,one_shot,3.9178390000015497,1,174,False,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,,,,,83.45772606071121,"[[1126, 261, ""6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782""]]e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150",,"S1,S2,S3,S4,S5,S6",,True,False,,completed,261,66.61835772217714,0,rerun_20260911,4.873351152,0.7765404171077535
